CasMp,Sample loading,Condition,Wash,Elute,Reconstitute
['1-125-CAS-154693'],"(methanol+phosphate, 0.995)","(methanol, null); (water, null); (phosphate, null)","(phosphate, null); (phosphate, null); (methanol, null)","(ethyl acetate+hexane, 0.25); (ammonium hydroxide+ethyl acetate, 0.98)","(acetonitrile+formic acid, 0.1)"
['1-124-CAS-551053'],"(acetonitrile, 0.5)",,,"(acetic acid+methanol, 0.9)","(methanol, null)"
['1-134-CAS-377688'],"(water, null)",,"(methanol+water, 0.05)","(acetonitrile, null)",
['1-143-CAS-325273'],"(water, null)","(methanol, null); (unknown, null)",,"(dichloromethane, null)","(methanol, null)"
['1-143-CAS-287836'],,"(water, null)",,"(dichloromethane+methanol, 0.5)","(methanol, null)"
['1-134-CAS-323674'],,"(methanol, null); (water, null)",,"(methanol, null)","(methanol, null)"
['2-140-CAS-179630'],"(water, null)","(ethyl acetate, null); (methanol, null); (water, null)",,"(ethyl acetate, null)","(hexane, null)"
['2-140-CAS-179675'],"(water, null)","(ethyl acetate, null); (methanol, null); (water, null)",,"(ethyl acetate, null)","(hexane, null)"
['1-134-CAS-348244'],"(water, null)","(ethyl acetate, null); (methanol, null); (water, null)",,"(ethyl acetate, null)","(hexane, null)"
['1-124-CAS-427309'],,"(methanol, null); (water, null)","(water, null)","(ethyl acetate+methanol, 0.8)","(acetonitrile+water, 0.95)"
['1-120-CAS-460266'],"(unknown, null)","(dichloromethane, null); (methanol, null); (water, null)","(water, null)","(dichloromethane, null); (methanol, null); (water, null)","(dichloromethane+ethyl acetate, null)"
['1-135-CAS-243062'],"(hexane, null)","(hexane, null); (hexane, null); (hexane, null)",,"(hexane, null)",
['1-135-CAS-239332'],"(hexane, null)","(hexane, null); (hexane, null); (hexane, null)",,"(hexane, null)",
['1-135-CAS-213412'],"(hexane, null)","(hexane, null); (hexane, null); (hexane, null)",,"(hexane, null)",
['1-143-CAS-321284'],"(water, null)","(methanol, null); (water, null)",,"(dichloromethane, null); (dichloromethane, null); (dichloromethane, null)",
['1-124-CAS-348931'],,"(methanol, null); (potassium phosphate, null)","(water, null); (water, null); (acetonitrile+water, 0.4); (dichloromethane+methanol, 0.5)","(methanol+water, 0.8)",
['1-124-CAS-447261'],"(water, null)","(methanol, null); (water, null)","(water, null)","(methanol, null)","(methanol+water, 0.5)"
['1-132-CAS-237684'],"(unknown, null)","(ethyl acetate, null); (methanol, null); (methanol+water, 0.1)","(methanol+water, 0.1)",,
['1-143-CAS-448503'],"(unknown, null)","(hexane, null); (methanol, null); (water, null)",,"(dichloromethane, null)","(unknown, null)"
['1-143-CAS-448600'],"(unknown, null)","(hexane, null); (methanol, null); (water, null)",,"(dichloromethane, null)","(unknown, null)"
['1-143-CAS-448371'],"(unknown, null)","(hexane, null); (methanol, null); (water, null)",,"(dichloromethane, null)","(unknown, null)"
['1-143-CAS-445599'],"(unknown, null)","(hexane, null); (methanol, null); (water, null)",,"(dichloromethane, null)","(unknown, null)"
['1-143-CAS-295131'],"(water, null)","(methanol, null); (water, null)",,"(unknown, null)",
['1-143-CAS-263860'],"(unknown, null)","(hexane, null); (methanol, null); (water, null)",,"(dichloromethane+ethyl acetate, 0.3); (dichloromethane+ethyl acetate, 0.3)","(unknown, null)"
['1-143-CAS-440101'],"(water, null)","(hexane, null); (dichloromethane, null); (methanol, null); (water, null)","(water, null)","(dichloromethane+hexane, 0.5); (dichloromethane+hexane, 0.5)","(unknown, null)"
['1-120-CAS-461759'],"(water, null)","(dichloromethane, null); (methanol, null); (water, null)","(water, null)","(dichloromethane, null); (methanol, null); (water, null)","(dichloromethane+ethyl acetate, null)"
['1-120-CAS-457192'],"(water, null)","(dichloromethane, null); (methanol, null); (water, null)","(water, null)","(dichloromethane, null); (methanol, null); (water, null)","(dichloromethane+ethyl acetate, null)"
['1-120-CAS-460165'],"(water, null)","(dichloromethane, null); (methanol, null); (water, null)","(water, null)","(dichloromethane, null); (methanol, null); (water, null)","(dichloromethane+ethyl acetate, null)"
['1-119-CAS-3187254'],"(water, null)","(nitric acid, null); (methanol, null); (acetonitrile, null)","(water, null)",,
['1-124-CAS-343358'],"(unknown, null)","(dichloromethane, null); (methanol, null); (water, null)","(water, null)","(dichloromethane, null)",
['1-120-CAS-462546'],,"(dichloromethane, null); (methanol, null); (unknown, null)","(water, null)","(dichloromethane, null); (methanol, null); (unknown, null)","(dichloromethane+ethyl acetate, null)"
['1-120-CAS-457059'],,"(dichloromethane, null); (methanol, null); (unknown, null)","(water, null)","(dichloromethane, null); (methanol, null); (unknown, null)","(dichloromethane+ethyl acetate, null)"
['1-134-CAS-462662'],,"(dichloromethane, null); (methanol, null); (unknown, null)","(water, null)","(dichloromethane, null); (methanol, null); (unknown, null)","(dichloromethane+ethyl acetate, null)"
['2-111-CAS-125202'],"(methanol, 0.5)","(methanol, null); (acetonitrile, null); (water, null)","(water, null); (acetonitrile+water, 0.4)","(methanol, null)","(water, null)"
['1-124-CAS-419641'],,"(acetone, null); (acetone+dichloromethane, 0.7)","(acetone+dichloromethane, 0.7)","(acetone+methanol, 0.8)","(acetone+dichloromethane, 0.8)"
['2-111-CAS-123156'],"(methanol, null)","(methanol, null)",,"(methanol, null)","(methanol, null)"
['1-124-CAS-299280'],,"(methanol, null); (water, null)","(water, null); (methanol+water, 0.05)","(methanol, null); (methanol, null)","(methanol+water, 0.1)"
['1-143-CAS-440232'],"(water, null)","(dichloromethane, null); (acetone, null); (methanol, null); (water, null)",,"(acetone, null); (acetone, null); (dichloromethane, null); (acetone, null); (acetone, null)","(hexane, null)"
['1-124-CAS-328523'],"(acetonitrile, 0.5)","(methanol, null)","(water, null); (water, null); (water, null); (acetonitrile+water, 0.6)","(acetic acid+methanol, 0.9)","(acetonitrile+water, 0.8)"
['1-124-CAS-427505'],"(water, null)","(methanol, null); (water, null)","(water, null)","(formic acid+water, 0.1)","(water, null)"
['1-124-CAS-112304'],,"(methanol, null); (water, null); (water, null)","(water, null)","(ethyl acetate, null)","(methanol, null)"
['1-143-CAS-315736'],"(water, null)","(dichloromethane, null); (acetone, null); (methanol, null); (unknown, null)",,"(acetone, null); (dichloromethane, null); (acetone, null)","(hexane, null)"
['1-124-CAS-103095'],,"(methanol, null)","(water, null); (methanol, null)","(methanol, null)","(methanol, null)"
['1-124-CAS-32859'],,"(methanol, null)","(water, null); (methanol, null)","(methanol, null)","(methanol, null)"
['1-143-CAS-340830'],,"(acetone+ethyl acetate, 0.5); (methanol, null); (water, null)","(methanol+water, 0.4)","(acetone+ethyl acetate, 0.5)","(DMF, null)"
['1-143-CAS-439738'],"(water, null)","(dichloromethane+hexane, 0.6667000000000001); (methanol, null); (water, null)","(methanol+water, 0.5)","(dichloromethane+hexane, 0.75)",
['1-125-CAS-377525'],,,"(water, null); (water, null); (hexane, null); (ethyl acetate, null); (methanol, null)","(ammonium hydroxide+ethyl acetate, 0.98)","(ammonium acetate, 0.5)"
['1-143-CAS-279799'],"(methanol+water, 0.5)","(methanol, null); (water, null)","(water, null); (methanol+water, 0.6)","(methanol, null)","(methanol+water, 0.5)"
['1-143-CAS-278380'],"(methanol+water, 0.5)","(methanol, null); (water, null)","(water, null); (methanol+water, 0.6)","(methanol, null)","(methanol+water, 0.5)"
['1-102-CAS-27880'],"(phosphate, 0.33)","(methanol, null); (water, null); (phosphate, null)","(water, null); (unknown, null); (methanol, null)","(ammonium hydroxide+dichloromethane, 0.7959183673469388)","(ethyl acetate, null)"
['1-124-CAS-327452'],"(acetonitrile, 0.5)","(methanol, null)","(ammonium acetate, null); (water, null); (acetonitrile+water, 0.6)","(methanol, 0.9)","(acetonitrile+water, 0.8)"
['1-143-CAS-459238'],"(water, null)",,"(nitric acid+water, 0.02); (water, null)","(nitric acid+water, 0.06); (nitric acid+water, 0.02)",
['1-125-CAS-304380'],"(water, null)","(methanol, null); (water, null)","(water, null); (water, null); (methanol, null)","(dichloromethane+isopropanol, 0.8)","(ethyl acetate, null)"
['1-143-CAS-255961'],"(water, null)","(methanol, null); (water, null)",,"(dichloromethane, null); (dichloromethane, null); (dichloromethane, null)",
['1-124-CAS-356193'],"(acetonitrile+water, 0.667)","(methanol, null); (water, null)","(water, null); (dichloromethane, null)",,"(acetonitrile+ammonium acetate, 0.1)"
['1-124-CAS-362460'],"(acetonitrile+water, 0.667)","(methanol, null); (water, null)","(water, null); (dichloromethane, null)",,"(acetonitrile+ammonium acetate, 0.1)"
['1-124-CAS-366002'],"(acetonitrile+water, 0.667)","(methanol, null); (water, null)","(water, null); (dichloromethane, null)",,"(acetonitrile+ammonium acetate, 0.1)"
['1-124-CAS-3832'],"(unknown, null)","(dichloromethane, null); (methanol, null); (ethanol+water, 0.13)","(sulfuric acid, null)","(dichloromethane, null)",
['2-114-CAS-142701'],"(unknown, null)","(unknown, null)","(unknown, null); (unknown, null)","(unknown, null)",
['1-125-CAS-307072'],"(water, null); (methanol, null); (sodium acetate, null); (methanol, null); (water, null); (sodium acetate, null)",,"(water, null); (phosphate, null); (methanol, null)","(ammonium hydroxide+dichloromethane, 0.7959183673469388)","(ethyl acetate, null)"
['1-143-CAS-252406'],"(water, null)",,,"(acetonitrile, null)","(dichloromethane, null)"
['1-143-CAS-99776'],"(water, null)",,"(hexane, null); (methanol, null)","(hexane, null)",
['1-143-CAS-232012'],"(ethyl acetate+methanol, 0.9)","(ethyl acetate+methanol, 0.9)",,"(ethyl acetate+methanol, 0.1); (ethyl acetate, null)",
['1-124-CAS-90364'],"(methanol+water, 0.1)",,,"(methanol, null); (methanol, null)","(acetonitrile+benzene, 0.98)"
['1-124-CAS-199420'],"(cyclohexane+ethanol, 0.1)","(cyclohexane+ethyl acetate, 0.9); (cyclohexane, null)",,"(cyclohexane+ethyl acetate, 0.9)",
['1-143-CAS-91194'],"(water, null)","(dichloromethane, null); (methanol, null); (water, null)","(methanol+water, 0.2)","(dichloromethane, null)","(dichloromethane, null)"
['1-143-CAS-313675'],"(water, null)",,,"(acetone+dichloromethane, 0.7)","(acetone+dichloromethane, 0.7)"
['1-124-CAS-126119'],"(unknown, null)","(hexane, null)",,"(diethyl ether, null)","(methanol, null)"
['1-139-CAS-281278'],"(unknown, null)",,,"(dichloromethane, null)","(cyclohexane, null)"
['1-124-CAS-212090'],,"(methanol, null); (water, null)",,"(ethyl acetate, null)","(water, null)"
