CasMp,Sample loading,Condition,Wash,Elute,Reconstitute
['2-114-CAS-170708'],unknown,ethyl acetate; methanol; hydrochloric acid,hydrochloric acid,ethyl acetate,pyridine
['1-143-CAS-333525'],unknown,ethyl acetate; acetonitrile; water,acetonitrile+water; hexane,acetonitrile,acetonitrile
['1-143-CAS-331712'],unknown,ethyl acetate; acetonitrile; water,acetonitrile+water; hexane,acetonitrile,acetonitrile
['2-112-CAS-129996'],,dichloromethane; methanol; water,water; methanol,dichloromethane,toluene
['2-107-CAS-229259'],,methanol; water,water,acetic acid+methanol,methanol
['2-114-CAS-103663'],methanol+water,,,,
['2-105-CAS-144583'],methanol+water,methanol,,methanol,
['2-105-CAS-155770'],water,methanol; water,water,methanol+water,methanol+water
['2-105-CAS-147792'],methanol+water,methanol,,methanol,
['2-105-CAS-146040'],methanol+water,methanol,,methanol,
['2-105-CAS-145678'],methanol+water,methanol,,methanol,
['1-124-CAS-306785'],methanol+water,methanol,,methanol,
['1-124-CAS-304167'],methanol+water,methanol,,methanol,
['1-124-CAS-303230'],methanol+water,methanol,,methanol,
['2-111-CAS-160749'],unknown,,,,water
['2-114-CAS-111811'],water,methanol; water,water,acetonitrile+water,water
['2-112-CAS-157360'],acetonitrile+water,MTBE+methanol; water,,MTBE+methanol,
['2-111-CAS-102687'],unknown,methanol; water,water; methanol+water,methanol+water,water
['2-114-CAS-167503'],unknown,methanol; ammonium acetate,ammonium acetate+methanol,methanol,unknown
['2-114-CAS-102165'],unknown,dichloromethane; methanol; unknown,water; hydrochloric acid; methanol; dichloromethane,ammonium hydroxide+dichloromethane,
['1-143-CAS-440638'],water,,,acetic acid+methanol,
['2-107-CAS-172382'],dichloromethane+hexane,,,dichloromethane+hexane; unknown; methanol,
['1-143-CAS-331613'],dichloromethane+hexane,,,dichloromethane+hexane; unknown; methanol,
['1-101-CAS-3185964'],water,methanol; water,,methanol,methanol
['2-141-CAS-111283'],,,,,
['2-105-CAS-147702'],methanol+water,methanol,methanol,,
['1-124-CAS-301546'],methanol+water,methanol,methanol,,
['2-114-CAS-170802'],water,,water,unknown,unknown
['2-114-CAS-154182'],water,acetonitrile,water,acetonitrile+water,unknown
['2-114-CAS-169526'],unknown,,,,unknown
['2-105-CAS-147109'],methanol+water,methanol,,methanol,
['2-111-CAS-160348'],ammonium formate+formic acid,methanol; water,water; methanol+water,methanol,water
['2-114-CAS-166940'],,ethyl acetate; methanol; water,,methanol,dichloromethane+hexane
['2-111-CAS-160696'],ammonium formate+formic acid,methanol; water,water; formic acid+methanol,methanol,water
['2-114-CAS-120371'],,,water,unknown,
['2-114-CAS-119651'],,,water,unknown,
['2-112-CAS-168716'],unknown,methanol; unknown,unknown,dichloromethane,cyclohexane
['2-114-CAS-167346'],methanol+water,ethyl acetate; methanol; water,,methanol,methanol
['2-111-CAS-101723'],chloroform+methanol,methanol; water,water,methanol,methanol
['2-114-CAS-111770'],methanol+water; acetic acid+water,methanol; water,water; acetonitrile+water,acetonitrile+water,acetonitrile+water
['1-143-CAS-243523'],water,,,nitric acid+water,
['1-143-CAS-229406'],,,,ethanol,
['1-143-CAS-329499'],,,,,
['1-143-CAS-204371'],,,,,
['1-124-CAS-92602'],,,,,
['1-124-CAS-56181'],,,,,
['1-143-CAS-329891'],methanol+water,,methanol+water,methanol,methanol+water
['1-143-CAS-326845'],methanol+water,,methanol+water,methanol,methanol+water
['1-143-CAS-241027'],water,acetonitrile; water,,,unknown
['1-143-CAS-314138'],water,,,methanol,methanol+water
['1-120-CAS-314743'],water,,,methanol,methanol+water
['1-143-CAS-226139'],unknown,water,,,
['1-143-CAS-329760'],,,dichloromethane+methanol,,hexane
['1-143-CAS-329293'],,,dichloromethane+methanol,,hexane
['1-143-CAS-326258'],,,dichloromethane+methanol,,hexane
['1-143-CAS-303564'],water,,,dichloromethane,
['1-143-CAS-235297'],,,,,
['1-143-CAS-230305'],ethyl acetate+hexane,,,,
['1-143-CAS-241807'],water,,,hydrochloric acid,
['1-143-CAS-238751'],water,methanol; water,water,methanol,methanol
['1-143-CAS-311239'],water,,methanol+water,methanol+water; unknown,DMSO
['1-143-CAS-311173'],water,,methanol+water,methanol+water; unknown,DMSO
['1-143-CAS-326505'],unknown,methanol,water,methanol,water
['1-143-CAS-325937'],unknown,methanol,water,methanol,water
['1-143-CAS-218891'],water,methanol; water,acetonitrile+water,acetonitrile+methanol,methanol
['1-143-CAS-227368'],water,methanol; water,methanol+water,methanol,acetonitrile
['1-143-CAS-258940'],unknown,,,,
['1-143-CAS-222075'],water,methanol; water,water,methanol,methanol
['1-143-CAS-266158'],water,,,methanol,methanol+water
['1-143-CAS-234596'],,methanol; methanol+water,methanol+water,methanol,methanol
['1-143-CAS-247084'],water,water,,nitric acid,
['1-143-CAS-220974'],water,,water,water,
['1-143-CAS-238038'],water,methanol; water,,methanol,methanol
['1-143-CAS-245394'],water,methanol; water,water,methanol,acetonitrile+water
['1-143-CAS-312565'],water,methanol; unknown,,methanol,pyridine
['1-143-CAS-326796'],water,,methanol+water,methanol,acetonitrile+water
['1-143-CAS-312312'],water,methanol; water,acetic acid+ammonium acetate,methanol,
['1-143-CAS-219961'],water,,methanol+water,methanol,
['1-143-CAS-311807'],water,,water,methanol; unknown,unknown
['1-143-CAS-226069'],water,,,,
['1-143-CAS-207921'],unknown,methanol; water,,methanol+phosphoric acid,
['1-143-CAS-329042'],methanol+water,dichloromethane; methanol; water,water,dichloromethane+hexane,
['1-143-CAS-329481'],water,methanol; water,water,methanol,methanol+water
['1-143-CAS-242269'],water,,,,
['1-143-CAS-237299'],water,,,,
['1-143-CAS-326496'],water,,,methanol; MTBE+methanol,
['1-143-CAS-236643'],water,water,water,,
['1-143-CAS-232946'],methanol+water,,,methanol,methanol
['1-143-CAS-211247'],methanol+water,,,acetonitrile,acetonitrile
['1-143-CAS-262018'],phosphate,methanol; water,water; hydrochloric acid; toluene,ammonia+methanol,hydrochloric acid+water
['1-143-CAS-239656'],water,,,methanol,
['1-143-CAS-238932'],water,,,methanol,
['1-143-CAS-225652'],water,,,methanol,
['1-143-CAS-216988'],water,,,acetonitrile,acetonitrile+water
['1-143-CAS-217384'],,water,,unknown,
['1-143-CAS-218092'],water,,,,
['1-143-CAS-241404'],water,acetone; isopropanol; methanol; water,,methanol,methanol+water
['1-143-CAS-311346'],methanol+water,methanol; water,,methanol; ethyl acetate+methanol,methanol
['1-143-CAS-309241'],methanol+water,methanol; water,,methanol; ethyl acetate+methanol,methanol
['1-143-CAS-227642'],,,ammonium acetate,nitric acid,water
['1-143-CAS-326028'],unknown,,hydrochloric acid,unknown,
['1-143-CAS-256551'],unknown,,,sodium hydroxide,
['1-143-CAS-235897'],water,methanol; water,,dichloromethane+methanol,methanol
['1-143-CAS-242256'],water,methanol; water,water,,
['1-143-CAS-311329'],hexane,,,diethyl ether+hexane,hexane
['1-143-CAS-211436'],water,acetone; water,water,acetone,
['1-143-CAS-58167'],water,acetone; water,water,acetone,
['1-143-CAS-263845'],unknown,ethyl acetate; methanol; water,,ethyl acetate,hexane
['1-143-CAS-300687'],water,,,nitric acid+water,
['1-143-CAS-239039'],water,methanol; water,,dichloromethane+methanol,methanol
['1-143-CAS-329473'],unknown,methanol,hydrochloric acid; water,methanol,water
['1-143-CAS-174176'],,,water,nitric acid,
['1-143-CAS-180841'],hexane,dichloromethane,,methanol,
['1-143-CAS-175881'],water,,methanol+water,methanol,acetonitrile+water
['1-143-CAS-170359'],,isopropanol,water,isopropanol,
['1-143-CAS-184858'],unknown,,,methanol,
['1-143-CAS-196866'],water,methanol; water,,methanol,methanol+water
['1-143-CAS-185413'],,,,,methanol+water
['1-143-CAS-190064'],water,methanol; water,,methanol,methanol+water
['1-143-CAS-161340'],unknown,methanol; water,water,acetonitrile,acetonitrile
['1-143-CAS-156093'],water,acetonitrile; water,water,dichloromethane,acetonitrile
['1-143-CAS-172496'],hexane,dichloromethane,toluene,acetonitrile,
['1-143-CAS-201002'],,,,sulfuric acid,
['1-143-CAS-189671'],hexane,dichloromethane,,toluene,
['1-143-CAS-159295'],,hexane; acetone; methanol; water,,acetone,ammonium acetate
['1-143-CAS-163726'],hexane,dichloromethane,acetonitrile,acetonitrile,
['1-143-CAS-186969'],hexane,dichloromethane,dichloromethane,acetonitrile,
['1-143-CAS-60707'],hexane,dichloromethane,dichloromethane,acetonitrile,
['1-143-CAS-188094'],hexane,dichloromethane,,acetonitrile,
['1-143-CAS-176781'],hexane,dichloromethane,,acetonitrile,
['1-143-CAS-120583'],hexane,dichloromethane,,acetonitrile,
['1-143-CAS-131501'],water,ethyl acetate; methanol; water,,ethyl acetate,methanol
['1-143-CAS-49051'],water,ethyl acetate; methanol; water,,ethyl acetate,methanol
['1-143-CAS-165399'],,,,nitric acid,
['1-143-CAS-197360'],,acetone; isopropanol; methanol; water,,acetonitrile+methanol,acetonitrile+water
['1-143-CAS-187608'],,acetone; isopropanol; methanol; water,,acetonitrile+methanol,acetonitrile+water
['1-143-CAS-142619'],water,methanol; water,methanol+water,acetonitrile,methanol+water
['1-143-CAS-180466'],water,acetonitrile; water,,acetonitrile+water,water
['1-143-CAS-165830'],water,methanol; dichloromethane; acetonitrile; water,unknown,dichloromethane; acetonitrile; methanol,acetonitrile+water
['1-143-CAS-204025'],water,,water,methanol,
['1-143-CAS-187896'],,,,unknown,
['1-139-CAS-72891'],,,,unknown,
['1-143-CAS-184861'],water,hexane; methanol; water,acetonitrile+water,methanol,
['1-143-CAS-144418'],water,methanol; water,water,acetonitrile+methanol,methanol+water
['1-143-CAS-185056'],,methanol; water,water,methanol,
['1-143-CAS-169081'],,,,hydrochloric acid,
['1-124-CAS-90637'],,,,hydrochloric acid,
['1-143-CAS-198053'],,unknown; water,,acetone,unknown
['1-143-CAS-136353'],hexane,dichloromethane,,tetrahydrofuran,
['1-143-CAS-172479'],water,methanol; water,water,ethyl acetate+methanol,methanol+water
['1-143-CAS-193019'],water,methanol; water,,dichloromethane; methanol,acetonitrile+water
['1-143-CAS-167539'],unknown,methanol; water,methanol+water,methanol; water,
['1-143-CAS-189104'],water,methanol; water,water,methanol,
['1-143-CAS-173008'],water,,,hydrochloric acid,
['1-124-CAS-209872'],water,,,hydrochloric acid,
['1-143-CAS-159870'],,,,ethyl acetate+methanol,water
['1-143-CAS-134644'],water,methanol; water,water,methanol,ethanol
['1-143-CAS-193467'],water,acetone; ethyl acetate; methanol; water,water,dichloromethane+ethyl acetate; acetone,methanol
['1-143-CAS-118409'],water,acetone; ethyl acetate; methanol; water,water,dichloromethane+ethyl acetate; acetone,methanol
['1-143-CAS-132854'],,methanol; water,,acetic acid+methanol,methanol
['1-143-CAS-148417'],water,methanol; water,methanol+water,methanol,methanol
['1-143-CAS-153371'],water,ethyl acetate; methanol; water,methanol+water,ethyl acetate,
['1-143-CAS-183330'],unknown,methanol; water,methanol+water,methanol,unknown
['1-143-CAS-132555'],unknown,methanol; water,methanol+water,methanol,unknown
